Enter in your CNF: ( Att 0 from left record > Att 0 from literal record (Int))  AND
( Att 0 from left record < Att 1 from literal record (Int)) 
l_orderkey: [32], l_partkey: [828], l_suppkey: [95], l_linenumber: [1], l_quantity: [28], l_extendedprice: [48407], l_discount: [0.05], l_tax: [0.08], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-10-23], l_commitdate: [1995-08-27], l_receiptdate: [1995-10-26], l_shipinstruct: [TAKE BACK RETURN], l_shipmode: [TRUCK], l_comment: [sleep quickly. req]
l_orderkey: [32], l_partkey: [1980], l_suppkey: [25], l_linenumber: [2], l_quantity: [32], l_extendedprice: [60223.4], l_discount: [0.02], l_tax: [0], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-08-14], l_commitdate: [1995-10-07], l_receiptdate: [1995-08-27], l_shipinstruct: [COLLECT COD], l_shipmode: [AIR], l_comment: [lithely regular deposits. fluffily ]
l_orderkey: [32], l_partkey: [442], l_suppkey: [72], l_linenumber: [3], l_quantity: [2], l_extendedprice: [2684.88], l_discount: [0.09], l_tax: [0.02], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-08-07], l_commitdate: [1995-10-07], l_receiptdate: [1995-08-23], l_shipinstruct: [DELIVER IN PERSON], l_shipmode: [AIR], l_comment: [ express accounts wake according to the]
l_orderkey: [32], l_partkey: [28], l_suppkey: [79], l_linenumber: [4], l_quantity: [4], l_extendedprice: [3712.08], l_discount: [0.09], l_tax: [0.03], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-08-04], l_commitdate: [1995-10-01], l_receiptdate: [1995-09-03], l_shipinstruct: [NONE], l_shipmode: [REG AIR], l_comment: [e slyly final pac]
l_orderkey: [32], l_partkey: [859], l_suppkey: [93], l_linenumber: [5], l_quantity: [44], l_extendedprice: [77433.4], l_discount: [0.05], l_tax: [0.06], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-08-28], l_commitdate: [1995-08-20], l_receiptdate: [1995-09-14], l_shipinstruct: [DELIVER IN PERSON], l_shipmode: [AIR], l_comment: [symptotes nag according to the ironic depo]
l_orderkey: [32], l_partkey: [117], l_suppkey: [44], l_linenumber: [6], l_quantity: [6], l_extendedprice: [6102.66], l_discount: [0.04], l_tax: [0.03], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-07-21], l_commitdate: [1995-09-23], l_receiptdate: [1995-07-25], l_shipinstruct: [COLLECT COD], l_shipmode: [RAIL], l_comment: [ gifts cajole carefully.]
l_orderkey: [33], l_partkey: [614], l_suppkey: [8], l_linenumber: [1], l_quantity: [31], l_extendedprice: [46952.9], l_discount: [0.09], l_tax: [0.04], l_returnflag: [A], l_linestatus: [F], l_shipdate: [1993-10-29], l_commitdate: [1993-12-19], l_receiptdate: [1993-11-08], l_shipinstruct: [COLLECT COD], l_shipmode: [TRUCK], l_comment: [ng to the furiously ironic package]
l_orderkey: [33], l_partkey: [606], l_suppkey: [69], l_linenumber: [2], l_quantity: [32], l_extendedprice: [48211.2], l_discount: [0.02], l_tax: [0.05], l_returnflag: [A], l_linestatus: [F], l_shipdate: [1993-12-09], l_commitdate: [1994-01-04], l_receiptdate: [1993-12-28], l_shipinstruct: [COLLECT COD], l_shipmode: [MAIL], l_comment: [gular theodolites]
l_orderkey: [33], l_partkey: [1375], l_suppkey: [14], l_linenumber: [3], l_quantity: [5], l_extendedprice: [6381.85], l_discount: [0.05], l_tax: [0.03], l_returnflag: [A], l_linestatus: [F], l_shipdate: [1993-12-09], l_commitdate: [1993-12-25], l_receiptdate: [1993-12-23], l_shipinstruct: [TAKE BACK RETURN], l_shipmode: [AIR], l_comment: [. stealthily bold exc]
l_orderkey: [33], l_partkey: [340], l_suppkey: [41], l_linenumber: [4], l_quantity: [41], l_extendedprice: [50853.9], l_discount: [0.09], l_tax: [0], l_returnflag: [R], l_linestatus: [F], l_shipdate: [1993-11-09], l_commitdate: [1994-01-24], l_receiptdate: [1993-11-11], l_shipinstruct: [TAKE BACK RETURN], l_shipmode: [MAIL], l_comment: [unusual packages doubt caref]
l_orderkey: [34], l_partkey: [884], l_suppkey: [18], l_linenumber: [1], l_quantity: [13], l_extendedprice: [23203.4], l_discount: [0], l_tax: [0.07], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1998-10-23], l_commitdate: [1998-09-14], l_receiptdate: [1998-11-06], l_shipinstruct: [NONE], l_shipmode: [REG AIR], l_comment: [nic accounts. deposits are alon]
l_orderkey: [34], l_partkey: [895], l_suppkey: [29], l_linenumber: [2], l_quantity: [22], l_extendedprice: [39509.6], l_discount: [0.08], l_tax: [0.06], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1998-10-09], l_commitdate: [1998-10-16], l_receiptdate: [1998-10-12], l_shipinstruct: [NONE], l_shipmode: [FOB], l_comment: [thely slyly p]
l_orderkey: [34], l_partkey: [1696], l_suppkey: [79], l_linenumber: [3], l_quantity: [6], l_extendedprice: [9586.14], l_discount: [0.02], l_tax: [0.06], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1998-10-30], l_commitdate: [1998-09-20], l_receiptdate: [1998-11-05], l_shipinstruct: [NONE], l_shipmode: [FOB], l_comment: [ar foxes sleep ]
l_orderkey: [35], l_partkey: [5], l_suppkey: [31], l_linenumber: [1], l_quantity: [24], l_extendedprice: [21720], l_discount: [0.02], l_tax: [0], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-02-21], l_commitdate: [1996-01-03], l_receiptdate: [1996-03-18], l_shipinstruct: [TAKE BACK RETURN], l_shipmode: [FOB], l_comment: [, regular tithe]
l_orderkey: [35], l_partkey: [1620], l_suppkey: [62], l_linenumber: [2], l_quantity: [34], l_extendedprice: [51735.1], l_discount: [0.06], l_tax: [0.08], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-01-22], l_commitdate: [1996-01-06], l_receiptdate: [1996-01-27], l_shipinstruct: [DELIVER IN PERSON], l_shipmode: [RAIL], l_comment: [s are carefully against the f]
l_orderkey: [35], l_partkey: [1209], l_suppkey: [21], l_linenumber: [3], l_quantity: [7], l_extendedprice: [7771.4], l_discount: [0.06], l_tax: [0.04], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-01-19], l_commitdate: [1995-12-22], l_receiptdate: [1996-01-29], l_shipinstruct: [NONE], l_shipmode: [MAIL], l_comment: [ the carefully regular ]
l_orderkey: [35], l_partkey: [852], l_suppkey: [86], l_linenumber: [4], l_quantity: [25], l_extendedprice: [43821.2], l_discount: [0.06], l_tax: [0.05], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-11-26], l_commitdate: [1995-12-25], l_receiptdate: [1995-12-21], l_shipinstruct: [DELIVER IN PERSON], l_shipmode: [SHIP], l_comment: [ quickly unti]
l_orderkey: [35], l_partkey: [1200], l_suppkey: [73], l_linenumber: [5], l_quantity: [34], l_extendedprice: [37440.8], l_discount: [0.08], l_tax: [0.06], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-11-08], l_commitdate: [1996-01-15], l_receiptdate: [1995-11-26], l_shipinstruct: [COLLECT COD], l_shipmode: [MAIL], l_comment: [. silent, unusual deposits boost]
l_orderkey: [35], l_partkey: [308], l_suppkey: [37], l_linenumber: [6], l_quantity: [28], l_extendedprice: [33832.4], l_discount: [0.03], l_tax: [0.02], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-02-01], l_commitdate: [1995-12-24], l_receiptdate: [1996-02-28], l_shipinstruct: [COLLECT COD], l_shipmode: [RAIL], l_comment: [ly alongside of ]
l_orderkey: [36], l_partkey: [1198], l_suppkey: [99], l_linenumber: [1], l_quantity: [42], l_extendedprice: [46166], l_discount: [0.09], l_tax: [0], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-02-03], l_commitdate: [1996-01-21], l_receiptdate: [1996-02-23], l_shipinstruct: [COLLECT COD], l_shipmode: [SHIP], l_comment: [ careful courts. special ]
